id,title,power,lat,lon,station_id,plug
866,Ladepunkt 866,22,,,463,CONNECTOR.AC.TYPE2.SOCKET
867,Ladepunkt 867,22,,,464,CONNECTOR.AC.TYPE2.SOCKET
868,Ladepunkt 868,22,,,464,CONNECTOR.AC.TYPE2.SOCKET
869,Ladepunkt 869,22,,,465,CONNECTOR.AC.TYPE2.SOCKET
870,Ladepunkt 870,22,,,465,CONNECTOR.AC.TYPE2.SOCKET
871,Ladepunkt 871,22,,,466,CONNECTOR.AC.TYPE2.SOCKET
872,Ladepunkt 872,22,,,466,CONNECTOR.AC.TYPE2.SOCKET
877,Ladepunkt 877,22,,,468,CONNECTOR.AC.TYPE2.SOCKET
878,Ladepunkt 878,22,,,468,CONNECTOR.AC.TYPE2.SOCKET
879,Ladepunkt 879,22,,,469,CONNECTOR.AC.TYPE2.SOCKET
880,Ladepunkt 880,22,,,469,CONNECTOR.AC.TYPE2.SOCKET
134876,Stromtanke 8*1,22,51.24147800,6.79490800,470,CONNECTOR.AC.TYPE2.SOCKET
134877,Stromtanke 8*2,22,51.24147800,6.79490800,470,CONNECTOR.AC.TYPE2.SOCKET
885,Ladepunkt 1,22,,,471,CONNECTOR.AC.TYPE2.SOCKET
886,Ladepunkt 2,22,,,471,CONNECTOR.AC.TYPE2.SOCKET
897,Ladepunkt 897,22,,,475,
898,Ladepunkt 898,22,,,475,
166098,Ladepunkt 1,22,,,476,CONNECTOR.AC.TYPE2.SOCKET
166099,Ladepunkt 2,22,,,476,CONNECTOR.AC.TYPE2.SOCKET
166100,Ladepunkt 3,22,,,476,CONNECTOR.AC.TYPE2.SOCKET
166101,Ladepunkt 4,22,,,476,CONNECTOR.AC.TYPE2.SOCKET
903,Ladepunkt 903,22,,,477,CONNECTOR.AC.TYPE2.SOCKET
904,Ladepunkt 904,22,,,477,CONNECTOR.AC.TYPE2.SOCKET
905,Ladepunkt 905,22,,,477,CONNECTOR.AC.SCHUKO.SOCKET
906,Ladepunkt 906,22,,,477,CONNECTOR.AC.SCHUKO.SOCKET
907,Ladepunkt 907,22,,,478,CONNECTOR.AC.TYPE2.SOCKET
908,Ladepunkt 908,22,,,478,CONNECTOR.AC.TYPE2.SOCKET
134885,Stromtanke 35*2,22,51.24105100,6.80244700,479,CONNECTOR.AC.TYPE2.SOCKET
134886,Stromtanke 35*1,22,51.24105100,6.80244700,479,CONNECTOR.AC.TYPE2.SOCKET
911,Ladepunkt 911,22,,,480,CONNECTOR.AC.TYPE2.SOCKET
912,Ladepunkt 912,22,,,480,CONNECTOR.AC.TYPE2.SOCKET
913,Ladepunkt 913,22,,,481,CONNECTOR.AC.TYPE2.SOCKET
914,Ladepunkt 914,22,,,481,CONNECTOR.AC.TYPE2.SOCKET
915,Ladepunkt 915,22,,,482,CONNECTOR.AC.TYPE2.SOCKET
916,Ladepunkt 916,22,,,482,CONNECTOR.AC.TYPE2.SOCKET
917,Ladepunkt 917,22,,,483,CONNECTOR.AC.TYPE2.SOCKET
918,Ladepunkt 918,22,,,483,CONNECTOR.AC.TYPE2.SOCKET
921,Ladepunkt 921,22,,,485,CONNECTOR.AC.TYPE2.SOCKET
922,Ladepunkt 922,22,,,485,CONNECTOR.AC.TYPE2.SOCKET
923,Ladepunkt 923,22,,,486,CONNECTOR.AC.TYPE2.SOCKET
924,Ladepunkt 924,22,,,486,CONNECTOR.AC.TYPE2.SOCKET
925,Ladepunkt 925,22,,,486,CONNECTOR.AC.TYPE2.SOCKET
926,Ladepunkt 926,22,,,486,CONNECTOR.AC.TYPE2.SOCKET
927,Ladepunkt 927,22,,,487,CONNECTOR.AC.TYPE2.SOCKET
928,Ladepunkt 928,22,,,487,CONNECTOR.AC.TYPE2.SOCKET
929,Ladepunkt 929,22,,,487,CONNECTOR.AC.TYPE2.SOCKET
930,Ladepunkt 930,22,,,487,CONNECTOR.AC.TYPE2.SOCKET
931,Ladepunkt 931,22,,,487,CONNECTOR.AC.TYPE2.SOCKET
932,Ladepunkt 932,22,,,487,CONNECTOR.AC.TYPE2.SOCKET
933,Ladepunkt 933,22,,,488,CONNECTOR.AC.TYPE2.SOCKET
934,Ladepunkt 934,22,,,488,CONNECTOR.AC.TYPE2.SOCKET
935,Ladepunkt 935,22,,,489,CONNECTOR.AC.TYPE2.SOCKET
936,Ladepunkt 936,22,,,489,CONNECTOR.AC.TYPE2.SOCKET
141189,Neuer Ladepunkt*1,22,51.24721700,6.77697100,491,CONNECTOR.AC.TYPE2.SOCKET
141190,Neuer Ladepunkt*2,22,51.24721700,6.77697100,491,CONNECTOR.AC.TYPE2.SOCKET
943,Ladepunkt 943,22,,,492,CONNECTOR.AC.TYPE2.SOCKET
944,Ladepunkt 944,22,,,492,CONNECTOR.AC.TYPE2.SOCKET
134878,Stromtanke 11*1,22,51.23855100,6.79520100,493,CONNECTOR.AC.TYPE2.SOCKET
134879,Stromtanke 11*2,22,51.23855100,6.79520100,493,CONNECTOR.AC.TYPE2.SOCKET
949,Ladepunkt 949,22,,,495,CONNECTOR.AC.TYPE2.SOCKET
950,Ladepunkt 950,22,,,495,CONNECTOR.AC.TYPE2.SOCKET
134918,Stromtanke 139*2,22,51.22257600,6.81829900,496,CONNECTOR.AC.TYPE2.SOCKET
134919,Stromtanke 139*1,22,51.22257600,6.81829900,496,CONNECTOR.AC.TYPE2.SOCKET
966,Ladepunkt 966,22,,,497,CONNECTOR.AC.TYPE2.SOCKET
967,Ladepunkt 967,22,,,497,CONNECTOR.AC.TYPE2.SOCKET
968,Ladepunkt 968,22,,,498,CONNECTOR.AC.TYPE2.SOCKET
969,Ladepunkt 969,22,,,498,CONNECTOR.AC.TYPE2.SOCKET
970,Ladepunkt 970,22,,,499,CONNECTOR.AC.TYPE2.SOCKET
971,Ladepunkt 971,22,,,499,CONNECTOR.AC.TYPE2.SOCKET
972,Ladepunkt 972,22,,,500,CONNECTOR.AC.TYPE2.SOCKET
973,Ladepunkt 973,22,,,500,CONNECTOR.AC.SCHUKO.SOCKET
974,Ladepunkt 974,22,,,501,CONNECTOR.AC.TYPE2.SOCKET
975,Ladepunkt 975,22,,,501,CONNECTOR.AC.TYPE2.SOCKET
980,Ladepunkt 980,22,,,503,CONNECTOR.AC.TYPE2.SOCKET
981,Ladepunkt 981,22,,,503,CONNECTOR.AC.TYPE2.SOCKET
982,Ladepunkt 982,22,,,504,CONNECTOR.AC.TYPE2.SOCKET
983,Ladepunkt 983,22,,,504,CONNECTOR.AC.TYPE2.SOCKET
984,Ladepunkt 984,22,,,504,CONNECTOR.AC.TYPE2.SOCKET
985,Ladepunkt 985,22,,,504,CONNECTOR.AC.TYPE2.SOCKET
986,Ladepunkt 986,22,,,505,CONNECTOR.AC.TYPE2.SOCKET
987,Ladepunkt 987,22,,,505,CONNECTOR.AC.TYPE2.SOCKET
994,Ladepunkt 994,22,,,507,CONNECTOR.AC.TYPE2.SOCKET
995,Ladepunkt 995,22,,,507,CONNECTOR.AC.TYPE2.SOCKET
996,Ladepunkt 996,22,,,507,CONNECTOR.AC.TYPE2.SOCKET
997,Ladepunkt 997,22,,,507,CONNECTOR.AC.TYPE2.SOCKET
998,Ladepunkt 998,22,,,507,CONNECTOR.AC.SCHUKO.SOCKET
999,Ladepunkt 999,22,,,507,CONNECTOR.AC.SCHUKO.SOCKET
1000,Ladepunkt 1000,22,,,507,CONNECTOR.AC.SCHUKO.SOCKET
1001,Ladepunkt 1001,22,,,507,CONNECTOR.AC.SCHUKO.SOCKET
1002,Ladepunkt 1002,22,,,507,CONNECTOR.AC.SCHUKO.SOCKET
1003,Ladepunkt 1003,22,,,507,CONNECTOR.AC.SCHUKO.SOCKET
1004,Ladepunkt 1004,22,,,507,CONNECTOR.AC.SCHUKO.SOCKET
1005,Ladepunkt 1005,22,,,507,CONNECTOR.AC.SCHUKO.SOCKET
1006,Ladepunkt 1006,22,,,508,CONNECTOR.AC.TYPE2.SOCKET
1007,Ladepunkt 1007,22,,,508,CONNECTOR.AC.TYPE2.SOCKET
1008,Ladepunkt 1008,22,,,509,CONNECTOR.AC.TYPE2.SOCKET
1009,Ladepunkt 1009,22,,,509,CONNECTOR.AC.TYPE2.SOCKET
1010,Ladepunkt 1010,22,,,509,CONNECTOR.AC.TYPE2.SOCKET
1011,Ladepunkt 1011,22,,,509,CONNECTOR.AC.TYPE2.SOCKET
1012,Ladepunkt 1012,22,,,509,CONNECTOR.AC.TYPE2.SOCKET
1013,Ladepunkt 1013,22,,,509,CONNECTOR.AC.TYPE2.SOCKET
1018,Ladepunkt 1,22,,,510,CONNECTOR.AC.TYPE2.SOCKET
1019,Ladepunkt 2,22,,,510,CONNECTOR.AC.TYPE2.SOCKET
1020,Ladepunkt 3,22,,,510,CONNECTOR.AC.TYPE2.SOCKET
1021,Ladepunkt 4,22,,,510,CONNECTOR.AC.TYPE2.SOCKET
1022,Ladepunkt 1022,22,,,511,CONNECTOR.AC.TYPE2.SOCKET
1023,Ladepunkt 1023,22,,,511,CONNECTOR.AC.TYPE2.SOCKET
150529,Neuer Ladepunkt*1,11,51.40772000,6.77819000,514,CONNECTOR.AC.TYPE2.SOCKET
