location_id,city,open_soon,postal_code,longitude,latitude,station_id,kw,charger_type,bundesland
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,150,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,150,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,150,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,150,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,150,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,150,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,150,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,150,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hildensupercharger,Hilden,0,40724,6.9369120000,51.1911190000,hildensupercharger,250,super,Nordrhein-Westfalen
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,150,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,150,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,150,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,150,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,150,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,150,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hilpoltsteinsupercharger,Hilpoltstein,0,D-91161,11.2605810000,49.1612150000,hilpoltsteinsupercharger,250,super,Bayern
hirschbergsupercharger,Hirschberg,0,69493,8.6374800000,49.5073820000,hirschbergsupercharger,150,super,Baden-Württemberg
hirschbergsupercharger,Hirschberg,0,69493,8.6374800000,49.5073820000,hirschbergsupercharger,150,super,Baden-Württemberg
