station_id,point_id,power,public key,steckertyp,inbetriebnahme
13014,2,22.0,AOFGKJJ43W7BSB3MA7DTUZ2NIC2ZCLRXHXSTO37C,AC Steckdose Typ 2,2021-02-10
13015,1,22.0,,,2020-08-10
13015,2,22.0,,AC Steckdose Typ 2,2020-08-10
13016,1,22.0,,,2020-08-26
13016,2,22.0,,AC Steckdose Typ 2,2020-08-26
13017,1,22.0,,,2020-10-01
13017,2,22.0,,AC Steckdose Typ 2,2020-10-01
13018,1,22.0,,,2020-10-01
13018,2,22.0,,AC Steckdose Typ 2,2020-10-01
13019,1,22.0,,,2020-10-01
13019,2,22.0,,AC Steckdose Typ 2,2020-10-01
13020,1,75.0,,,2021-08-31
13020,2,75.0,,DC Kupplung Combo,2021-08-31
13021,1,11.0,,,2011-03-29
13021,2,22.0,,AC Steckdose Typ 2,2011-03-29
13022,1,22.0,,,2019-09-09
13022,2,22.0,,AC Steckdose Typ 2,2019-09-09
13023,1,11.0,,,2011-03-15
13023,2,22.0,,AC Steckdose Typ 2,2011-03-15
13024,1,22.0,,,2019-11-13
13024,2,22.0,,AC Steckdose Typ 2,2019-11-13
13025,1,43.0,,,2017-09-20
13025,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2017-09-20
13026,1,300.0,,,2021-01-01
13026,2,300.0,,"DC Kupplung Combo, DC CHAdeMO",2021-01-01
13027,1,300.0,,,2021-01-01
13027,2,300.0,,"DC Kupplung Combo, DC CHAdeMO",2021-01-01
13028,1,43.0,,,2017-07-21
13028,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2017-07-21
13029,1,350.0,,,2019-05-31
13029,1,350.0,,,2019-05-31
13029,1,350.0,,,2019-05-31
13029,1,350.0,,,2019-05-31
13030,1,350.0,,,2019-05-31
13030,1,350.0,,,2019-05-31
13030,1,350.0,,,2019-05-31
13030,1,350.0,,,2019-05-31
13031,1,22.0,AKRPTEBNRQD2LILU4ILF4WRYBJIYFSN23XKBE7I7,,2021-04-28
13032,1,22.0,ALYHCDJS2ZKCWYXE6K62K6UCDWPEUO7NRN5KOQAA,,2021-03-01
13033,1,11.0,,,2011-03-25
13033,2,22.0,,AC Steckdose Typ 2,2011-03-25
13034,1,22.0,,,2019-05-07
13034,2,22.0,,AC Steckdose Typ 2,2019-05-07
13035,1,22.0,,,2021-05-27
13036,1,300.0,,,2020-10-29
13036,2,300.0,,"DC Kupplung Combo, DC CHAdeMO",2020-10-29
13037,1,22.0,,,2016-07-17
13037,2,22.0,,AC Steckdose Typ 2,2016-07-17
13038,1,22.0,,,2020-01-17
13038,2,22.0,,"AC Steckdose Typ 2, AC Schuko",2020-01-17
